Classification,Year,Period,Period Desc.,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Commodity Code,Commodity,Netweight (kg),Trade Value (US$)
HS,2018,201803,Mar-18,Imports,842,United States of America,,156,China,330590,Hair preparations; n.e.s. in heading no. 3305,560338,2851959
HS,2018,201803,Mar-18,Imports,842,United States of America,,156,China,330530,Hair preparations; lacquers,55677,200545
HS,2018,201804,Apr-18,Exports,842,United States of America,,156,China,330530,Hair preparations; lacquers,3401,6017
HS,2018,201802,Feb-18,Imports,842,United States of America,,156,China,330510,Hair preparations; shampoos,497912,2068892
HS,2018,201804,Apr-18,Exports,842,United States of America,,156,China,330590,Hair preparations; n.e.s. in heading no. 3305,44051,296204
HS,2018,201808,Aug-18,Exports,842,United States of America,,156,China,330510,Hair preparations; shampoos,464163,1799117
HS,2018,201805,May-18,Exports,842,United States of America,,156,China,330520,Hair preparations; for permanent waving or straightening,2390,20444
HS,2018,201807,Jul-18,Exports,842,United States of America,,156,China,330590,Hair preparations; n.e.s. in heading no. 3305,40580,201671
HS,2018,201807,Jul-18,Exports,842,United States of America,,156,China,330530,Hair preparations; lacquers,3773,32666
HS,2018,201806,Jun-18,Imports,842,United States of America,,156,China,330590,Hair preparations; n.e.s. in heading no. 3305,855342,3752760
HS,2018,201801,Jan-18,Imports,842,United States of America,,156,China,330590,Hair preparations; n.e.s. in heading no. 3305,834662,3000765
HS,2018,201801,Jan-18,Imports,842,United States of America,,156,China,330530,Hair preparations; lacquers,83090,327816
HS,2018,201802,Feb-18,Imports,842,United States of America,,156,China,330590,Hair preparations; n.e.s. in heading no. 3305,783135,3848240
HS,2018,201806,Jun-18,Imports,842,United States of America,,156,China,330530,Hair preparations; lacquers,123328,433983
HS,2018,201802,Feb-18,Imports,842,United States of America,,156,China,330530,Hair preparations; lacquers,80033,318030
HS,2018,201803,Mar-18,Imports,842,United States of America,,156,China,330520,Hair preparations; for permanent waving or straightening,1933,14642
HS,2018,201803,Mar-18,Imports,842,United States of America,,156,China,330510,Hair preparations; shampoos,394452,1639001
HS,2018,201802,Feb-18,Exports,842,United States of America,,156,China,330590,Hair preparations; n.e.s. in heading no. 3305,121006,220685
HS,2018,201808,Aug-18,Imports,842,United States of America,,156,China,330520,Hair preparations; for permanent waving or straightening,2546,19282
HS,2018,201808,Aug-18,Imports,842,United States of America,,156,China,330510,Hair preparations; shampoos,469838,1952240
HS,2018,201802,Feb-18,Exports,842,United States of America,,156,China,330530,Hair preparations; lacquers,4505,20857
